2018rank,City,State,2018estimate,2010Census,2016 land area (sq mi),2016 population density (sq mi),Zhvi,Median Income,Cost Score,Cost Rank
1,New York City,New York,8398748,8175133,301.5,28317.0,677000,64894.0,10.432397448146208,20.0
2,Los Angeles,California,3990456,3792621,468.7,8484.0,686100,71805.0,9.555044913306872,27.0
3,Chicago,Illinois,2705994,2695598,227.3,11900.0,229400,62992.0,3.641732283464567,190.0
4,Houston,Texas,2325502,2100263,637.5,3613.0,186000,59206.0,3.1415734891733944,228.0
5,Phoenix,Arizona,1660272,1445632,517.6,3120.0,242600,56581.0,4.287658401230095,159.0
6,Philadelphia,Pennsylvania,1584138,1526006,134.2,11683.0,156400,59195.0,2.642115043500296,253.0
7,San Antonio,Texas,1532233,1327407,461.0,3238.0,176100,59206.0,2.9743607066851334,237.0
8,San Diego,California,1425976,1307402,325.2,4325.0,633600,71805.0,8.823898057238354,30.0
9,Dallas,Texas,1345047,1197816,340.9,3866.0,214400,59206.0,3.6212546025740635,193.0
10,San Jose,California,1030119,945942,177.5,5777.0,1039700,71805.0,14.479493071513126,7.0
11,Austin,Texas,964254,790390,312.7,3031.0,368600,59206.0,6.225720366179104,79.0
12,Jacksonville,Florida,903889,821784,747.4,1178.0,177500,52594.0,3.374909685515458,208.0
13,Fort Worth,Texas,895008,741206,342.9,2491.0,197400,59206.0,3.3341215417356347,213.0
14,Columbus,Ohio,892533,787033,218.5,3936.0,156500,54021.0,2.8970215286647787,244.0
15,San Francisco,California,883305,805235,46.9,18569.0,1357500,71805.0,18.90536870691456,3.0
16,Charlotte,North Carolina,872498,731424,305.4,2757.0,224800,52752.0,4.261449802851077,161.0
17,Indianapolis,Indiana,867125,820445,361.5,2366.0,144100,54181.0,2.6596039201934256,250.0
18,Seattle,Washington,744955,608660,83.8,8405.0,723300,70979.0,10.190337987292017,24.0
19,Denver,Colorado,716492,600158,153.3,4521.0,424700,69117.0,6.144653269094434,82.0
20,"Washington, D.C.",District of Columbia,702455,601723,61.1,11148.0,573900,82336.0,6.970219588029537,60.0
21,Boston,Massachusetts,694583,617594,48.3,13938.0,599000,77385.0,7.740518188279382,44.0
22,El Paso,Texas,682669,649121,256.8,2660.0,128800,59206.0,2.1754551903523294,287.0
23,Detroit,Michigan,672662,713777,138.8,4847.0,118400,54909.0,2.1562949607532462,288.0
24,Nashville,Tennessee,669053,601222,475.9,1388.0,263500,51340.0,5.132450331125828,122.0
25,Portland,Oregon,653115,583776,133.5,4793.0,422500,60212.0,7.016873712881154,59.0
26,Memphis,Tennessee,650618,646889,317.4,2056.0,85900,51340.0,1.6731593299571483,301.0
27,Oklahoma City,Oklahoma,649021,579999,606.3,1053.0,130200,50051.0,2.60134662644103,254.0
28,Las Vegas,Nevada,644644,583756,134.4,4709.0,275500,58003.0,4.749754323052256,130.0
29,Louisville,Kentucky,620118,597337,263.5,2339.0,159800,48375.0,3.303359173126615,218.0
30,Baltimore,Maryland,602495,620961,80.9,7598.0,114800,80776.0,1.4212142220461523,307.0
31,Milwaukee,Wisconsin,592025,594833,96.2,6186.0,122800,59305.0,2.070651715706939,291.0
32,Albuquerque,New Mexico,560218,545852,188.2,2972.0,201800,46744.0,4.317131610474071,158.0
33,Tucson,Arizona,545975,520116,230.8,2299.0,187600,56581.0,3.315600643325498,215.0
34,Fresno,California,530093,494665,114.4,4563.0,242500,71805.0,3.3772021446974443,207.0
35,Mesa,Arizona,508958,439041,137.9,3514.0,251300,56581.0,4.4414202647531855,149.0
36,Sacramento,California,508529,466488,97.9,5059.0,326900,71805.0,4.5526077571199774,142.0
37,Atlanta,Georgia,498044,420003,133.5,3539.0,259700,56183.0,4.622394674545681,137.0
38,Kansas City,Missouri,491918,459787,315.0,1528.0,148900,53578.0,2.7791257605733697,245.0
39,Colorado Springs,Colorado,472688,416427,195.6,2378.0,293000,69117.0,4.239188622191357,162.0
40,Miami,Florida,470914,399457,36.0,12599.0,337200,52594.0,6.411377723694718,72.0
